section,d,bf,tf,bf_bottom,tf_bottom,tw,r,A,J,Iy,Ix,Alpha,Cy,Cx,Iw,Zy,Zx
HM148x100,148,100,9,100,9,6,8,2634,58608,1500000,10000000,0,,,7249999872,46434.89,153942.8
HM194x150,194,150,9,150,9,6,8,3810,86220,5070000,26300000,0,,,43299999744,103098.9,300977.81
HM244x175,244,175,11,175,11,7,13,5549,181923,9840000,60400000,0,,,1.33E+11,172093,550544.19
HM294x200,294,200,12,200,12,8,13,7105,278528,16000000,111000000,0,,,3.18E+11,245329,841874.38
HM340x250,340,250,14,250,14,9,13,9953,536551.31,36500000,212000000,0,,,9.69E+11,444899.91,1382363
HM390x300,390,300,16,300,16,10,13,13330,943866.69,72000000,379000000,0,,,2.52E+12,730104.88,2141305
HM440x300,440,300,18,300,18,11,13,15390,1353627,81100000,547000000,0,,,3.61E+12,823448.88,2756695
HM482x300,482,300,15,300,15,11,13,14120,882192.31,67600000,583000000,0,,,3.68E+12,689900.88,2695890
HM488x300,488,300,18,300,18,11,13,15920,1374923,81100000,689000000,0,,,4.47E+12,824900.88,3132390
HM544x300,544,300,15,300,15,11,13,14800,909699.69,67600000,764000000,0,,,4.72E+12,691776.38,3144116
HM550x300,550,300,18,300,18,11,13,16600,1402431,81100000,898000000,0,,,5.73E+12,826776.38,3636416
HM582x300,582,300,17,300,17,12,13,16920,1308040,76600000,989000000,0,,,6.11E+12,786028.81,3821970
HM588x300,588,300,20,300,20,12,13,18720,1927168,90100000,1140000000,0,,,7.26E+12,921028.81,4348470
HM594x302,594,302,23,302,23,14,13,21710,2971897,106000000,1340000000,0,,,8.61E+12,1077145,5056788
HM298x201,298,201,14,201,14,9,13,8203,436708,19000000,131000000,0,,,3.82E+11,289356.41,982475.38
HN100x50,100,50,7,50,7,5,8,1184,15308.33,148000,1870000,0,,,315000000,9524.76,44072.11
HN125x60,125,60,8,60,8,6,8,1668,28904,291000,4090000,0,,,986000000,15645.89,76894.11
HN150x75,150,75,7,75,7,5,8,1784,23108.33,495000,6660000,0,,,2520000000,20774.76,101853.6
HN175x90,175,90,8,90,8,5,8,2289,37678.33,975000,12100000,0,,,6780000256,33631.01,156135.41
HN198x99,198,99,7,99,7,4.5,8,2268,28439.63,1130000,15400000,0,,,10300000256,35458.45,175435.91
HN200x100,200,100,8,100,8,5.5,8,2666,44781.33,1340000,18100000,0,,,12300000256,41642.58,205136.91
HN248x124,248,124,8,124,8,5,8,3198,52325.33,2550000,34500000,0,,,36600000512,63191.26,311671.19
HN250x125,250,125,9,125,9,6,8,3696,78102,2940000,39600000,0,,,42500001792,72665.39,358172.19
HN298x149,298,149,8,149,8,5.5,13,4080,66941.59,4420000,63200000,0,,,92700000256,91763.2,475175.41
HN300x150,300,150,9,150,9,6.5,13,4678,99538.63,5080000,72100000,0,,,1.07E+11,105128.2,542226.38
HN346x174,346,174,9,174,9,6,13,5245,108828,7910000,110000000,0,,,2.24E+11,140057,712624.13
HN350x175,350,175,11,175,11,7,13,6291,194042.3,9840000,135000000,0,,,2.82E+11,173391.5,864353.13
HN396x199,396,199,11,199,11,7,13,7141,220597.7,14500000,198000000,0,,,5.35E+11,223323,1114410
HN400x150,400,150,13,150,13,8,13,7037,285748,7340000,186000000,0,,,2.74E+11,153243,1061264
HN400x200,400,200,13,200,13,8,13,8337,358981.31,17400000,235000000,0,,,6.49E+11,266993,1312814
HN446x150,446,150,12,150,12,7,13,6699,222420.7,6770000,220000000,0,,,3.18E+11,141105.5,1123212
HN446x199,446,199,12,199,12,8,13,8297,303317.31,15800000,281000000,0,,,7.42E+11,245367,1422925
HN450x151,450,151,14,151,14,8,13,7749,350640,8060000,257000000,0,,,3.82E+11,167368,1308237
HN450x200,450,200,14,200,14,9,13,9543,471814.69,18700000,329000000,0,,,8.87E+11,289627.41,1651854
HN470x150,470,150,13,150,13,7,13,7153,271950.31,7330000,262000000,0,,,3.82E+11,152625,1268108
HN475x151.5,475,151.5,15.5,151.5,15.5,8.5,13,8615,470174.81,9010000,317000000,0,,,4.74E+11,186945.09,1529905
HN482x153.5,482,153.5,19,153.5,19,10.5,13,10640,880564.38,11500000,396000000,0,,,6.14E+11,237270.5,1899791
HN492x150,492,150,12,150,12,7,13,7021,227680,6770000,275000000,0,,,3.89E+11,141669,1281013
HN496x199,496,199,14,199,14,9,13,9929,481163.31,18400000,408000000,0,,,1.07E+12,287765.91,1869377
HN500x150,500,150,16,150,16,10,20,9823,570933.31,9070000,385000000,0,,,5.27E+11,194975.5,1788431
HN500x152,500,152,16,152,16,9,13,9221,532673.31,9400000,370000000,0,,,5.48E+11,195390.91,1703613
HN500x200,500,200,16,200,16,10,13,11230,707466.69,21400000,468000000,0,,,1.25E+12,332854.91,2130081
HN504x153,504,153,18,153,18,10,13,10330,756864,10800000,419000000,0,,,6.34E+11,223535.91,1919725
HN506x201,506,201,19,201,19,11,13,12930,1135172,25800000,555000000,0,,,1.52E+12,399194.41,2495890
HN546x199,546,199,14,199,14,9,13,10380,493313.31,18400000,508000000,0,,,1.30E+12,288778.41,2123250
HN550x200,550,200,16,200,16,10,13,11730,724133.31,21400000,582000000,0,,,1.52E+12,334104.91,2416979
HN596x199,596,199,15,199,15,10,13,11780,641416.69,19800000,666000000,0,,,1.66E+12,312312.41,2576046
HN600x200,600,200,17,200,17,11,13,13170,913724.31,22700000,756000000,0,,,1.93E+12,358349.41,2904050
HN606x201,606,201,20,201,20,12,13,14980,1409536,27200000,883000000,0,,,2.32E+12,425686.81,3357659
HN625x198.5,625,198.5,17.5,198.5,17.5,13.5,13,15060,1207450,23000000,885000000,0,,,2.10E+12,373061.81,3327763
HN630x200,630,200,20,200,20,15,13,17000,1752917,26900000,1010000000,0,,,2.48E+12,434707.19,3787997
HN638x202,638,202,24,202,24,17,13,19870,2867159,33200000,1220000000,0,,,3.11E+12,533941.13,4498719
HN646x299,646,299,15,299,15,10,13,15280,883083.31,66900000,1100000000,0,,,6.65E+12,687062.38,3823194
HN650x300,650,300,17,300,17,11,13,17120,1263441,76600000,1250000000,0,,,7.66E+12,784861.88,4316323
HN656x301,656,301,20,301,20,12,13,19580,1971669,91000000,1470000000,0,,,9.19E+12,929486.81,5011607
HN692x300,692,300,20,300,20,13,18,20750,2092128,90200000,1680000000,0,,,1.02E+13,930494.38,5503661
HN700x300,700,300,24,300,24,13,18,23150,3259857,108000000,1970000000,0,,,1.23E+13,1110494,6338861
HN734x299,734,299,16,299,16,12,18,18270,1230037,71400000,1610000000,0,,,9.19E+12,743287.5,5010390
HN742x300,742,300,20,300,20,13,18,21400,2128745,90200000,1970000000,0,,,1.17E+13,932606.88,6030679
HN750x300,750,300,24,300,24,13,18,23800,3296474,108000000,2310000128,0,,,1.42E+13,1112607,6925879
HN758x303,758,303,28,303,28,16,18,28480,5430998,130000000,2760000000,0,,,1.73E+13,1333621,8261602
HN792x300,792,300,22,300,22,14,18,23950,2833893,99200000,2480000000,0,,,1.47E+13,1029739,7143765
HN800x300,800,300,26,300,26,14,18,26350,4223152,117000000,2860000000,0,,,1.75E+13,1209739,8098965
HN834x298,834,298,19,298,19,14,18,22750,2108108,84000000,2510000128,0,,,1.39E+13,885729.31,6942401
HN842x299,842,299,23,299,23,15,18,25970,3346664,103000000,2980000000,0,,,1.72E+13,1076114,8118538
HN850x300,850,300,27,300,27,16,18,29210,5060270,122000000,3460000000,0,,,2.06E+13,1269311,9310979
HN858x301,858,301,31,301,31,17,18,32470,7332411,141000000,3950000128,0,,,2.41E+13,1465333,10500000
HN890x299,890,299,23,299,23,15,18,26690,3400664,103000000,3390000128,0,,,1.93E+13,1078814,8750548
HN900x300,900,300,28,300,28,16,18,30580,5580971,126000000,4040000000,0,,,2.40E+13,1317383,10300000
HN912x302,912,302,34,302,34,18,18,36010,9620037,157000000,4910000128,0,,,3.01E+13,1622479,12300000
HN970x297,970,297,21,297,21,16,18,27600,3129379,92100000,3929999872,0,,,2.06E+13,988953.5,9492328
HN980x298,980,298,26,298,26,17,18,31550,5054100,115000000,4720000000,0,,,2.61E+13,1225007,11200000
HN990x298,990,298,31,298,31,17,18,34530,7489001,137000000,5440000000,0,,,3.14E+13,1447017,12600000
HN1000x300,1000,300,36,300,36,19,18,39510,11500000,163000000,6339999744,0,,,3.76E+13,1707539,14600000
HN1008x302,1008,302,40,302,40,21,18,43930,15900000,184000000,7120000000,0,,,4.30E+13,1930458,16300000
HW100x100,100,100,8,100,8,6,8,2158,40757.33,1340000,3780000,0,,,2820000000,41020.89,86405.84
HW125x125,125,125,9,125,9,6.5,8,3000,71368.84,2930000,8390000,0,,,9859999744,71721.4,151962
HW150x150,150,150,10,150,10,7,8,3964,116006.7,5630000,16200000,0,,,27599998976,114385,243067.8
HW175x175,175,175,11,175,11,7.5,13,5142,178345.8,9840000,29000000,0,,,66099998720,171561.59,370329.69
HW200x200,200,200,12,200,12,8,13,6353,262485.31,16000000,47200000,0,,,1.41E+11,243825,525567.88
HW200x204,200,204,12,204,12,12,13,7153,343296,17000000,49800000,0,,,1.50E+11,257332.8,565567.88
HW244x252,244,252,11,252,11,11,13,8131,326982.31,29400000,87000000,0,,,3.98E+11,357215.41,797179.19
HW250x250,250,250,14,250,14,9,13,9143,514681.31,36500000,107000000,0,,,5.08E+11,443077.41,952661.19
HW250x255,250,255,14,255,14,14,13,10390,682341.31,38800000,114000000,0,,,5.39E+11,467499.81,1030786
HW294x302,294,302,12,302,12,12,13,10630,510336,55100000,166000000,0,,,1.10E+12,558244.81,1259942
HW300x300,300,300,15,300,15,10,13,11850,770000,67500000,202000000,0,,,1.37E+12,682904.88,1484024
HW300x305,300,305,15,305,15,15,13,13350,1006875,71000000,213000000,0,,,1.44E+12,714394.69,1596524
HW338x351,338,351,13,351,13,13,13,13330,752106.31,93800000,277000000,0,,,2.47E+12,815362.31,1821682
HW344x348,344,348,16,348,16,10,13,14400,1059605,112000000,328000000,0,,,3.02E+12,977786.88,2092003
HW344x354,344,354,16,354,16,16,13,16470,1414485,118000000,349000000,0,,,3.18E+12,1024089,2269507
HW350x350,350,350,19,350,19,12,13,17190,1791089,136000000,398000000,0,,,3.72E+12,1176283,2515521
HW350x357,350,357,19,357,19,19,13,19640,2389218,144000000,423000000,0,,,3.95E+12,1240735,2729896
HW388x402,388,402,15,402,15,15,22,17850,1324125,163000000,490000000,0,,,5.65E+12,1237363,2802550
HW394x398,394,398,18,398,18,11,22,18680,1714243,189000000,561000000,0,,,6.68E+12,1440825,3118860
HW394x405,394,405,18,405,18,18,22,21440,2305584,200000000,597000000,0,,,7.04E+12,1511045,3390523
HW400x400,400,400,21,400,21,13,22,21870,2747154,224000000,666000000,0,,,8.04E+12,1699903,3672878
HW400x408,400,408,21,408,21,21,22,25070,3688965,238000000,709000000,0,,,8.54E+12,1793791,3992878
HW414x405,414,405,28,405,28,18,22,29540,6677424,310000000,928000000,0,,,1.15E+13,2331171,5026723
HW428x407,428,407,35,407,35,20,22,36070,12700000,394000000,1190000000,0,,,1.52E+13,2940898,6311850
HW458x417,458,417,50,417,50,30,22,52860,38400000,605000000,1870000000,0,,,2.51E+13,4436105,9540775
HW492x465,492,465,20,465,20,15,22,25800,3011000,335000000,1170000000,0,,,1.87E+13,2192871,5248127
HW498x432,498,432,70,432,70,45,22,77001,112000000,944000000,2980000000,0,,,4.31E+13,6724542,14500000
HW502x465,502,465,25,465,25,15,22,30450,5380375,419000000,1460000000,0,,,2.38E+13,2733433,6403652
HW502x470,502,470,25,470,25,20,22,32960,6167834,433000000,1510000000,0,,,2.46E+13,2812690,6718657
