TimePeriod,Service,Amount,Unit
2024-07-23,EC2 - Other,0.4106461225,USD
2024-07-23,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-23,Amazon Relational Database Service,0.0103621944,USD
2024-07-23,Amazon Route 53,0.0028568,USD
2024-07-23,Amazon Simple Storage Service,0.0061677851,USD
2024-07-23,Amazon Virtual Private Cloud,0.12,USD
2024-07-24,EC2 - Other,0.410645324,USD
2024-07-24,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-24,Amazon Relational Database Service,0.0103621944,USD
2024-07-24,Amazon Route 53,0.0006852,USD
2024-07-24,Amazon Simple Storage Service,0.0061064455,USD
2024-07-24,Amazon Virtual Private Cloud,0.12,USD
2024-07-25,EC2 - Other,0.4106455358,USD
2024-07-25,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-25,Amazon Relational Database Service,0.0103621944,USD
2024-07-25,Amazon Route 53,0.0007148,USD
2024-07-25,Amazon Simple Storage Service,0.0060823851,USD
2024-07-25,Amazon Virtual Private Cloud,0.12,USD
2024-07-26,EC2 - Other,0.410645497,USD
2024-07-26,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-26,Amazon Relational Database Service,0.0103621944,USD
2024-07-26,Amazon Route 53,0.000654,USD
2024-07-26,Amazon Simple Storage Service,0.0060871851,USD
2024-07-26,Amazon Virtual Private Cloud,0.12,USD
2024-07-27,EC2 - Other,0.41064516,USD
2024-07-27,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-27,Amazon Relational Database Service,0.0103621944,USD
2024-07-27,Amazon Route 53,0.0007884,USD
2024-07-27,Amazon Simple Storage Service,0.0060819851,USD
2024-07-27,Amazon Virtual Private Cloud,0.12,USD
2024-07-28,EC2 - Other,0.4106451604,USD
2024-07-28,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-28,Amazon Relational Database Service,0.0103621944,USD
2024-07-28,Amazon Route 53,0.00082,USD
2024-07-28,Amazon Simple Storage Service,0.0060819851,USD
2024-07-28,Amazon Virtual Private Cloud,0.12,USD
2024-07-29,EC2 - Other,0.4106452253,USD
2024-07-29,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-29,Amazon Relational Database Service,0.0103621944,USD
2024-07-29,Amazon Route 53,0.0009136,USD
2024-07-29,Amazon Simple Storage Service,0.0060883851,USD
2024-07-29,Amazon Virtual Private Cloud,0.12,USD
2024-07-30,EC2 - Other,0.4107403333,USD
2024-07-30,Amazon Elastic Compute Cloud - Compute,0.2784,USD
2024-07-30,Amazon Relational Database Service,0.0103621944,USD
2024-07-30,Amazon Route 53,0.0009308,USD
