region,year,K,L,E,Y,CO2
Anhui,2013,46184.375,4275.9,116.96388394,14649.664,368985280.0
Anhui,2014,56383.246,4311.0,120.11021965,15997.462,374358940.0
Anhui,2015,67765.28,4342.1,123.31966341,17391.113,373214140.0
Beijing,2013,24637.605,1141.0,67.23895033,9249.393,84418936.0
Beijing,2014,26473.578,1156.7,68.31226032,9924.599,81342600.0
Beijing,2015,28604.693,1186.1,68.52549504,10609.3955,71104664.0
Fujian,2013,47213.582,2555.86,111.89905477,17790.016,229565360.0
Fujian,2014,56792.855,2648.51,121.09716635,19551.227,247692380.0
Fujian,2015,68152.83,2768.41,121.79970889,21310.838,230969980.0
Gansu,2013,14177.342,1504.97,72.86722524,3989.3613,164001090.0
Gansu,2014,17613.45,1519.86,75.21446815,4343.836,163835000.0
Gansu,2015,21354.088,1535.69,75.22853128,4694.831,160582700.0
Guangdong,2013,77582.1,6117.68,284.79697908,42364.203,522797900.0
Guangdong,2014,87782.39,6183.23,295.9326156,45653.188,520463100.0
Guangdong,2015,99965.13,6219.3063,301.45485499,49303.434,520620220.0
Guangxi,2013,33847.25,2782.26,91.00373466,10097.913,195647900.0
Guangxi,2014,40525.24,2796.0,95.15337798,10956.508,187419940.0
Guangxi,2015,48411.035,2820.0,97.60653584,11843.985,174818830.0
Guizhou,2013,17497.523,1864.21,92.98536745,4417.817,259845700.0
Guizhou,2014,21934.568,1909.69,97.0877774,4894.9414,249578200.0
Guizhou,2015,27363.086,1946.65,99.48479091,5418.7,242366620.0
Hainan,2013,6917.9946,514.56,17.20330812,2132.643,34364560.0
Hainan,2014,8322.969,543.1,18.19926891,2313.9177,37348360.0
Hainan,2015,9824.055,555.77,19.37770657,2494.4033,41229360.0
Hebei,2013,64201.473,4183.93,296.64377,20422.635,773640700.0
Hebei,2014,75793.625,4202.66,293.20211855,21750.105,737206900.0
Hebei,2015,88480.555,4212.5,293.95359232,23229.113,722886800.0
Henan,2013,73409.85,6386.5747,219.09088852,22135.967,519503420.0
Henan,2014,87049.48,6520.0323,228.8992695,24097.082,531061900.0
Henan,2015,103240.6,6636.0,231.61158796,26097.139,526575230.0
Heilongjiang,2013,31037.56,2060.4,118.53341089,13277.119,305357570.0
Heilongjiang,2014,34453.62,2079.7,119.54903,14021.873,312470080.0
Heilongjiang,2015,37813.586,2034.5,121.26193347,14815.413,313675900.0
Hubei,2013,49800.48,3692.0,157.03128597,19571.412,317830600.0
Hubei,2014,60236.406,3687.5,163.20258705,21465.924,320040100.0
Hubei,2015,72166.71,3658.0,164.03729965,23365.658,315785440.0
Hunan,2013,44394.598,4036.45,149.18513446,16799.71,276992030.0
Hunan,2014,53325.227,4044.13,153.16837428,18391.113,271368300.0
Hunan,2015,63679.965,3980.3,154.68614802,19954.357,286894400.0
Jilin,2013,31396.107,1415.43,86.45400345,8532.105,245277600.0
