section,d,bf,tf,bf_bottom,tf_bottom,tw,r,A,J,Iy,Ix,Alpha,Cy,Cx,Iw,Zy,Zx
W4x13,105.664,103.124,8.763,103.124,8.763,7.112,6.35,2470.9628,62434.71384,1606653.302816,4703415.10928,0.0,0.0,0.0,3759502131.561343,47850.22688,102910.76192
W5x16,127.254,127.0,9.144,127.0,9.144,6.096,7.62,3038.7036,79083.970864,3125898.006256,8907352.50784,0.0,0.0,0.0,10902556181.527895,75052.75312,157807.42632
W5x19,130.81,127.762,10.922,127.762,10.922,6.858,7.62,3587.0896,133194.056192,3800192.915728,10946886.49328,0.0,0.0,0.0,13668475606.890882,90620.46392,190089.9424
W6x8.5,148.082,100.076,4.953,100.076,4.953,4.318,6.35,1625.8032,12486.942768,828300.536944,6201848.24144,0.0,0.0,0.0,4242866691.333516,25563.81984,93897.87672
W6x9,149.86,100.076,5.461,100.076,5.461,4.318,6.35,1729.0288,16649.257024,915709.13632,6826195.37984,0.0,0.0,0.0,4753084837.759698,28185.75008,102091.40872
W6x12,153.162,101.6,7.112,101.6,7.112,5.842,6.35,2290.318,37460.828304,1244531.962544,9198714.50576,0.0,0.0,0.0,6632835903.540369,38017.98848,136012.6312
W6x15,152.146,152.146,6.604,152.146,6.604,5.842,6.35,2858.0588,41623.14256,3879276.886592,12112334.48496,0.0,0.0,0.0,20542993790.317337,77838.554,176980.2912
W6x16,159.512,102.362,10.287,102.362,10.287,6.604,6.35,3058.0584,91570.913632,1843905.215408,13361028.76176,0.0,0.0,0.0,10258070101.831665,55552.14696,191728.6488
W6x20,157.48,152.908,9.271,152.908,9.271,6.604,6.35,3787.0892,99895.542144,5535877.96048,17231981.01984,0.0,0.0,0.0,30344552919.030838,110121.07008,245805.96
W6x25,162.052,154.432,11.557,154.432,11.557,8.128,6.35,4735.4744,191466.455776,7117557.37776,22226758.12704,0.0,0.0,0.0,40280379981.01439,140273.26784,309715.5096
W8x10,200.406,100.076,5.207,100.076,5.207,4.318,7.62,1909.6736,16649.257024,869923.679504,12819927.90848,0.0,0.0,0.0,8297758276.088964,27202.52624,145353.25768
W8x13,202.946,101.6,6.477,101.6,6.477,5.842,7.62,2477.4144,37460.828304,1136311.791888,16482764.45376,0.0,0.0,0.0,10956263354.835913,35232.1876,186812.5296
W8x15,205.994,101.981,8.001,101.981,8.001,6.223,7.62,2864.5104,58272.399584,1419349.161296,19979108.4288,0.0,0.0,0.0,13910157886.776968,43753.46088,222864.0704
W8x18,206.756,133.35,8.382,133.35,8.382,5.842,7.62,3393.5416,70759.342352,3317364.462032,25764725.24464,0.0,0.0,0.0,32761375717.891705,76363.71824,278580.088
