x,y,z,srcPt_x,srcPt_y,srcPt_z,dip_dir,dip_ang
1122520.8914,4447335,1220.627146,1124783.7848,4442879.3657,922.650033,67.297953,39
1122526.1912,4447325,1219.79323,1124783.7848,4442879.3657,922.650033,67.297953,39
1122532.4118,4447315,1218.271407,1124783.7848,4442879.3657,922.650033,67.297953,39
1122537.0467,4447305,1217.934223,1124783.7848,4442879.3657,922.650033,67.297953,39
1122539.1006,4447295,1219.525089,1124783.7848,4442879.3657,922.650033,67.297953,39
1122541.0435,4447285,1221.19897,1124783.7848,4442879.3657,922.650033,67.297953,39
1122542.981,4447275,1222.876826,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.7858,4447265,1224.653871,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.9787,4447255,1227.635033,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.2455,4447245,1231.307988,1124783.7848,4442879.3657,922.650033,67.297953,39
1122543.4647,4447235,1235.016611,1124783.7848,4442879.3657,922.650033,67.297953,39
1122543.0757,4447225,1238.43244,1124783.7848,4442879.3657,922.650033,67.297953,39
1122543.5734,4447215,1241.185952,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.2833,4447205,1243.78087,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.9921,4447195,1246.376664,1124783.7848,4442879.3657,922.650033,67.297953,39
1122545.679,4447185,1248.98874,1124783.7848,4442879.3657,922.650033,67.297953,39
1122545.7224,4447175,1252.081571,1124783.7848,4442879.3657,922.650033,67.297953,39
1122544.0051,4447165,1256.489802,1124783.7848,4442879.3657,922.650033,67.297953,39
1122546.5199,4447155,1257.736381,1124783.7848,4442879.3657,922.650033,67.297953,39
1122562.0336,4447145,1249.272212,1124783.7848,4442879.3657,922.650033,67.297953,39
1122570.0228,4447135,1246.429197,1124783.7848,4442879.3657,922.650033,67.297953,39
1122578.2458,4447125,1243.411474,1124783.7848,4442879.3657,922.650033,67.297953,39
1122586.5017,4447115,1240.369282,1124783.7848,4442879.3657,922.650033,67.297953,39
1122594.8074,4447105,1237.289755,1124783.7848,4442879.3657,922.650033,67.297953,39
1122604.595,4447095,1233.10325,1124783.7848,4442879.3657,922.650033,67.297953,39
1122612.6802,4447085,1230.188523,1124783.7848,4442879.3657,922.650033,67.297953,39
1122618.1897,4447075,1229.197952,1124783.7848,4442879.3657,922.650033,67.297953,39
1122621.0852,4447065,1230.16018,1124783.7848,4442879.3657,922.650033,67.297953,39
1122624.0331,4447055,1231.083255,1124783.7848,4442879.3657,922.650033,67.297953,39
1122626.4702,4447045,1232.387884,1124783.7848,4442879.3657,922.650033,67.297953,39
1122628.9348,4447035,1233.672009,1124783.7848,4442879.3657,922.650033,67.297953,39
1122630.5977,4447025,1235.555017,1124783.7848,4442879.3657,922.650033,67.297953,39
1122633.8962,4447015,1236.216094,1124783.7848,4442879.3657,922.650033,67.297953,39
1122639.2668,4447005,1235.329298,1124783.7848,4442879.3657,922.650033,67.297953,39
1122644.6323,4446995,1234.446293,1124783.7848,4442879.3657,922.650033,67.297953,39
1122647.7793,4446985,1235.220632,1124783.7848,4442879.3657,922.650033,67.297953,39
1122649.2486,4446975,1237.248308,1124783.7848,4442879.3657,922.650033,67.297953,39
1122650.8077,4446965,1239.208866,1124783.7848,4442879.3657,922.650033,67.297953,39
1122652.9103,4446955,1240.763376,1124783.7848,4442879.3657,922.650033,67.297953,39
1122656.0041,4446945,1241.577444,1124783.7848,4442879.3657,922.650033,67.297953,39
1122659.3754,4446935,1242.184188,1124783.7848,4442879.3657,922.650033,67.297953,39
1122664.4659,4446925,1241.506631,1124783.7848,4442879.3657,922.650033,67.297953,39
